candidate_id,rank,score,reasoning
CAND_0002025,1,1.0,"Senior AI Engineer with 5.9 years of experience. Profile closely matches the primary technical requirements. Key skills: embeddings, evaluation, faiss. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0018722,2,0.957,"Recommendation Systems Engineer with 6.6 years of experience. Excellent match for the target role. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0081686,3,0.93,"Search Engineer with 6.0 years of experience. Strong alignment with the core AI requirements. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate."
CAND_0077337,4,0.927,"Staff Machine Learning Engineer with 7.0 years of experience. Strong alignment with the core AI requirements. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Currently open to work."
CAND_0081846,5,0.862,"Lead AI Engineer with 6.7 years of experience. Strong alignment with the core AI requirements. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0069905,6,0.843,"Applied ML Engineer with 6.6 years of experience. Profile closely matches the primary technical requirements. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0095528,7,0.805,"Senior Data Scientist with 5.3 years of experience. Excellent match for the target role. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Currently open to work."
CAND_0030031,8,0.743,"AI Engineer with 5.7 years of experience. Excellent match for the target role. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate."
CAND_0079387,9,0.733,"AI Engineer with 6.9 years of experience. Profile closely matches the primary technical requirements. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Currently open to work."
CAND_0024620,10,0.698,"AI Engineer with 5.9 years of experience. Profile closely matches the primary technical requirements. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Currently open to work."
CAND_0055905,11,0.665,"Senior Machine Learning Engineer with 8.1 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0030953,12,0.647,"Search Engineer with 7.8 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, python. Strong recruiter engagement."
CAND_0096172,13,0.633,"NLP Engineer with 5.2 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement."
CAND_0013393,14,0.568,"ML Engineer with 5.3 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, milvus. Lower recruiter engagement than higher-ranked candidates. Currently open to work."
CAND_0076163,15,0.568,"NLP Engineer with 6.9 years of experience. Good alignment with the technical requirements. Key skills: elasticsearch, evaluation, opensearch. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0050876,16,0.55,"Applied ML Engineer with 6.0 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, faiss. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0067866,17,0.545,"Senior Software Engineer (ML) with 6.4 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0064326,18,0.54,"Search Engineer with 7.6 years of experience. Solid AI background with several matching skills. Key skills: evaluation, lora, milvus. Excellent recruiter response rate. Currently open to work."
CAND_0054123,19,0.533,"Applied ML Engineer with 4.7 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate."
CAND_0051630,20,0.505,"Machine Learning Engineer with 6.0 years of experience. Good alignment with the technical requirements. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Long notice period (90 days) may delay availability."
CAND_0073007,21,0.487,"AI Specialist with 5.8 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, faiss. Excellent recruiter response rate. Currently open to work."
CAND_0040887,22,0.483,"Machine Learning Engineer with 4.7 years of experience. Good alignment with the technical requirements. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0030348,23,0.48,"Machine Learning Engineer with 4.5 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Currently open to work."
CAND_0052682,24,0.47,"NLP Engineer with 6.6 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, faiss. Excellent recruiter response rate. Currently open to work."
CAND_0047542,25,0.423,"Senior Software Engineer (ML) with 5.0 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, lora. Strong recruiter engagement. Currently open to work."
CAND_0046064,26,0.407,"Senior NLP Engineer with 8.9 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0049978,27,0.405,"Senior Software Engineer (ML) with 6.6 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, lora. Strong recruiter engagement. Currently open to work."
CAND_0088025,28,0.373,"Staff Machine Learning Engineer with 8.6 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0098454,29,0.372,"AI Specialist with 6.6 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, opensearch. Excellent recruiter response rate. Currently open to work."
CAND_0096142,30,0.367,"Applied ML Engineer with 5.0 years of experience. Relevant experience for the target role. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work. Long notice period (120 days) may delay availability."
CAND_0025640,31,0.358,"AI Research Engineer with 5.6 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, evaluation, faiss. Excellent recruiter response rate. Currently open to work."
CAND_0075249,32,0.345,"Applied ML Engineer with 6.2 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0004402,33,0.33,"AI Research Engineer with 6.0 years of experience. Solid AI background with several matching skills. Key skills: evaluation, opensearch, peft. Excellent recruiter response rate. Currently open to work."
CAND_0093912,34,0.328,"Senior Data Scientist with 5.3 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0043860,35,0.322,"Junior ML Engineer with 6.1 years of experience. Good alignment with the technical requirements. Key skills: evaluation, python, qdrant. Excellent recruiter response rate. Currently open to work."
CAND_0024990,36,0.308,"Junior ML Engineer with 5.2 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, evaluation, milvus. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0058412,37,0.307,"Senior Software Engineer (ML) with 6.6 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, milvus. Moderate recruiter engagement."
CAND_0093883,38,0.297,"AI Research Engineer with 5.0 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, lora. Moderate recruiter engagement. Currently open to work."
CAND_0027691,39,0.297,"NLP Engineer with 6.5 years of experience. Relevant experience for the target role. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0060835,40,0.287,"Senior Software Engineer (ML) with 6.6 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, faiss. Lower recruiter engagement than higher-ranked candidates. Strong recent GitHub activity. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0038368,41,0.273,"ML Engineer with 5.4 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, faiss. Strong recruiter engagement."
CAND_0052328,42,0.26,"Recommendation Systems Engineer with 6.5 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, lora. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0068351,43,0.253,"Lead AI Engineer with 6.4 years of experience. Good alignment with the technical requirements. Key skills: elasticsearch, evaluation, lora. Excellent recruiter response rate."
CAND_0015967,44,0.252,"Senior Software Engineer (ML) with 5.4 years of experience. Good alignment with the technical requirements. Key skills: embeddings, evaluation, lora. Moderate recruiter engagement. Currently open to work."
CAND_0049538,45,0.245,"Applied ML Engineer with 5.8 years of experience. Solid AI background with several matching skills. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Strong recent GitHub activity."
CAND_0072660,46,0.24,"Machine Learning Engineer with 7.1 years of experience. Good alignment with the technical requirements. Key skills: elasticsearch, evaluation, faiss. Moderate recruiter engagement. Currently open to work."
CAND_0009024,47,0.235,"Search Engineer with 5.2 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, faiss. Moderate recruiter engagement. Currently open to work."
CAND_0083307,48,0.23,"Search Engineer with 7.8 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, lora. Strong recruiter engagement. Currently open to work. Long notice period (120 days) may delay availability."
CAND_0037160,49,0.223,"Data Scientist with 6.0 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, python. Strong recruiter engagement. Currently open to work."
CAND_0011162,50,0.22,"Recommendation Systems Engineer with 5.8 years of experience. Solid AI background with several matching skills. Key skills: embeddings, evaluation, faiss. Strong recruiter engagement. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0070398,51,0.22,"Machine Learning Engineer with 7.2 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work. Long notice period (120 days) may delay availability."
CAND_0022870,52,0.218,"AI Specialist with 6.7 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement. Currently open to work."
CAND_0005260,53,0.198,"Senior NLP Engineer with 5.2 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, faiss. Excellent recruiter response rate."
CAND_0065195,54,0.192,"Search Engineer with 5.1 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0082913,55,0.192,"Senior Software Engineer (ML) with 5.5 years of experience. Partial alignment with the required skills. Key skills: elasticsearch, evaluation, faiss. Strong recruiter engagement."
CAND_0008425,56,0.167,"Senior NLP Engineer with 7.8 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, lora. Strong recruiter engagement. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0070525,57,0.165,"Senior Software Engineer (ML) with 5.4 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: embeddings, evaluation, python. Excellent recruiter response rate. Currently open to work."
CAND_0072547,58,0.155,"Senior Software Engineer (ML) with 5.1 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, peft. Excellent recruiter response rate. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0032179,59,0.15,"Computer Vision Engineer with 6.4 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: embeddings, evaluation, python. Moderate recruiter engagement."
CAND_0099401,60,0.15,"NLP Engineer with 7.7 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, python. Moderate recruiter engagement. Long notice period (90 days) may delay availability."
CAND_0002120,61,0.143,"ML Engineer with 6.5 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, pinecone. Strong recruiter engagement. Currently open to work."
CAND_0010257,62,0.142,"Senior Data Scientist with 6.5 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, milvus. Strong recruiter engagement. Currently open to work. Long notice period (120 days) may delay availability."
CAND_0006821,63,0.14,"Senior Software Engineer (ML) with 5.0 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, faiss. Lower recruiter engagement than higher-ranked candidates."
CAND_0046525,64,0.14,"Senior Machine Learning Engineer with 6.1 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0080766,65,0.138,"Staff Machine Learning Engineer with 8.8 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, evaluation, lora. Strong recruiter engagement."
CAND_0075491,66,0.135,"AI Research Engineer with 6.0 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, python. Moderate recruiter engagement. Currently open to work."
CAND_0057736,67,0.128,"Computer Vision Engineer with 6.2 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, peft. Excellent recruiter response rate. Currently open to work. Long notice period (90 days) may delay availability."
CAND_0036121,68,0.127,"ML Engineer with 5.2 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, lora. Moderate recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0064256,69,0.127,"Junior ML Engineer with 6.4 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: embeddings, evaluation, python. Excellent recruiter response rate. Currently open to work."
CAND_0011125,70,0.122,"Junior ML Engineer with 6.6 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, milvus. Moderate recruiter engagement. Strong recent GitHub activity. Long notice period (120 days) may delay availability."
CAND_0018499,71,0.117,"Senior Machine Learning Engineer with 7.2 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, faiss. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0062247,72,0.115,"AI Engineer with 7.3 years of experience. Partial alignment with the required skills. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0013665,73,0.115,"Senior Software Engineer (ML) with 5.2 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: embeddings, evaluation, lora. Strong recruiter engagement."
CAND_0050454,74,0.11,"AI Engineer with 6.8 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Currently open to work."
CAND_0057563,75,0.11,"NLP Engineer with 6.8 years of experience. Partial alignment with the required skills. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate."
CAND_0060054,76,0.107,"AI Engineer with 6.4 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate."
CAND_0094728,77,0.092,"AI Specialist with 6.5 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, opensearch. Moderate recruiter engagement."
CAND_0008295,78,0.087,"AI Research Engineer with 6.5 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: evaluation, lora, peft. Excellent recruiter response rate. Currently open to work."
CAND_0024147,79,0.085,"ML Engineer with 5.9 years of experience. Some relevant experience, although overall fit is weaker. Key skills: evaluation, lora, opensearch. Excellent recruiter response rate. Currently open to work."
CAND_0087630,80,0.077,"AI Engineer with 7.2 years of experience. Partial alignment with the required skills. Key skills: elasticsearch, embeddings, evaluation. Moderate recruiter engagement."
CAND_0040178,81,0.075,"ML Engineer with 5.0 years of experience. Partial alignment with the required skills. Key skills: evaluation, opensearch, python. Moderate recruiter engagement. Currently open to work."
CAND_0072020,82,0.072,"Senior Software Engineer (ML) with 6.1 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, evaluation, milvus. Lower recruiter engagement than higher-ranked candidates. Currently open to work."
CAND_0012957,83,0.067,"Search Engineer with 4.9 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, peft. Strong recruiter engagement. Long notice period (120 days) may delay availability."
CAND_0053591,84,0.065,"AI Engineer with 5.3 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: embeddings, evaluation, faiss. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0077498,85,0.063,"Senior Software Engineer (ML) with 5.4 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0060072,86,0.062,"Staff Machine Learning Engineer with 5.7 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, lora. Lower recruiter engagement than higher-ranked candidates. Strong recent GitHub activity. Long notice period (90 days) may delay availability."
CAND_0068932,87,0.06,"ML Engineer with 5.2 years of experience. Some relevant experience, although overall fit is weaker. Key skills: evaluation, milvus, opensearch. Excellent recruiter response rate. Currently open to work."
CAND_0017960,88,0.048,"Recommendation Systems Engineer with 7.7 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: evaluation, faiss, lora. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0069771,89,0.043,"Junior ML Engineer with 5.7 years of experience. Partial alignment with the required skills. Key skills: elasticsearch, evaluation, faiss. Lower recruiter engagement than higher-ranked candidates. Currently open to work."
CAND_0006418,90,0.04,"Machine Learning Engineer with 5.7 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, embeddings, evaluation. Excellent recruiter response rate. Currently open to work."
CAND_0076482,91,0.038,"ML Engineer with 6.6 years of experience. Partial alignment with the required skills. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Strong recent GitHub activity. Currently open to work."
CAND_0001930,92,0.038,"Senior Software Engineer (ML) with 6.9 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, lora. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work. Long notice period (120 days) may delay availability."
CAND_0066798,93,0.032,"ML Engineer with 5.1 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, lora. Strong recruiter engagement."
CAND_0058146,94,0.03,"AI Research Engineer with 5.1 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: evaluation, python, qdrant. Strong recruiter engagement. Strong recent GitHub activity."
CAND_0001056,95,0.028,"Computer Vision Engineer with 5.1 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Long notice period (90 days) may delay availability."
CAND_0048166,96,0.025,"ML Engineer with 5.2 years of experience. Partial alignment with the required skills. Key skills: evaluation, milvus, pinecone. Moderate recruiter engagement."
CAND_0059557,97,0.022,"Computer Vision Engineer with 6.5 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, lora. Excellent recruiter response rate. Currently open to work."
CAND_0049831,98,0.022,"Computer Vision Engineer with 5.4 years of experience. Relevant background but fewer core matches than higher-ranked candidates. Key skills: embeddings, evaluation, lora. Moderate recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0014440,99,0.015,"Recommendation Systems Engineer with 6.4 years of experience. Some relevant experience, although overall fit is weaker. Key skills: elasticsearch, embeddings, evaluation. Strong recruiter engagement. Strong recent GitHub activity. Currently open to work."
CAND_0026424,100,0.0,"Senior Software Engineer (ML) with 5.6 years of experience. Some relevant experience, although overall fit is weaker. Key skills: embeddings, evaluation, lora. Lower recruiter engagement than higher-ranked candidates. Currently open to work. Long notice period (90 days) may delay availability."
